name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,hurricane_class
              Isaac,2012,8,29,60,29.1,-90.0,hurricane,1.0,70,966,330,50,0
             Leslie,2018,10,12,0,30.4,-35.2,hurricane,1.0,80,968,360,65,0
             Isabel,2003,9,14,18,23.9,-67.0,hurricane,5.0,140,933,213,63,1
               Nate,2005,9,8,12,30.5,-63.8,hurricane,1.0,75,982,180,40,0
               Dean,2007,8,19,0,16.1,-71.0,hurricane,4.0,120,920,280,90,1
            Georges,1998,9,21,60,17.1,-62.1,hurricane,3.0,100,966,220,60,1
              Grace,2021,8,19,60,19.9,-86.4,hurricane,1.0,70,985,200,40,0
             Bonnie,2022,7,5,18,15.4,-105.1,hurricane,2.0,95,967,160,40,0
               Kirk,2024,10,2,60,17.1,-41.6,hurricane,1.0,70,982,300,25,0
              Greta,1978,9,16,12,14.0,-77.7,hurricane,1.0,70,989,178,33,0
             Bertha,2008,7,11,0,27.4,-61.0,hurricane,1.0,75,980,210,40,0
             Bonnie,1998,8,25,18,29.8,-75.6,hurricane,3.0,100,963,212,62,1
               Jose,2017,9,17,0,29.1,-72.0,hurricane,1.0,70,971,260,55,0
            Ophelia,2005,9,10,18,31.7,-76.2,hurricane,1.0,70,977,240,25,0
             Harvey,1993,9,20,18,35.6,-55.2,hurricane,1.0,65,990,237,53,0
            Charley,2004,8,14,0,28.1,-81.6,hurricane,1.0,75,970,115,40,0
               Lili,1996,10,19,0,23.0,-78.2,hurricane,2.0,85,975,251,66,0
            Michael,2018,10,10,60,27.7,-86.6,hurricane,4.0,120,945,280,60,1
            Gonzalo,2014,10,18,12,35.6,-62.6,hurricane,2.0,85,960,290,110,0
              Maria,2005,9,5,60,30.9,-56.8,hurricane,1.0,80,977,155,30,0
               Irma,2017,8,31,60,16.4,-32.5,hurricane,1.0,65,994,90,10,0
              Allen,1980,8,8,18,23.9,-91.8,hurricane,4.0,130,940,326,145,1
            Ernesto,2024,8,15,0,22.3,-68.7,hurricane,1.0,70,981,250,40,0
               Ella,1978,9,1,0,29.6,-70.0,hurricane,2.0,90,978,219,64,0
              Paula,2010,10,13,0,19.6,-86.0,hurricane,2.0,90,981,95,35,0
             Dorian,2019,8,30,12,24.3,-69.5,hurricane,2.0,95,972,150,30,0
               Hugo,1989,9,22,60,33.5,-80.3,hurricane,2.0,85,952,217,68,0
               Gert,1999,9,17,18,20.4,-56.3,hurricane,4.0,115,950,230,64,1
              Isaac,2000,9,26,60,18.3,-42.9,hurricane,2.0,85,973,254,64,0
          Gabrielle,2001,9,17,12,35.3,-66.6,hurricane,1.0,70,983,213,57,0
              Debby,2000,8,21,18,16.1,-58.5,hurricane,1.0,75,1004,229,51,0
               Gert,1999,9,14,18,17.1,-45.8,hurricane,2.0,95,962,237,61,0
           Florence,2018,9,10,0,24.5,-57.3,hurricane,1.0,80,973,210,35,0
             Dorian,2019,8,28,18,18.4,-65.1,hurricane,1.0,70,993,90,15,0
              Fiona,2022,9,22,12,28.0,-70.6,hurricane,4.0,115,936,330,105,1
              Irene,2011,8,27,60,33.4,-76.8,hurricane,1.0,75,952,365,120,0
            Dorothy,1977,9,28,18,37.0,-58.8,hurricane,1.0,70,984,221,60,0
              Irene,2011,8,23,12,20.4,-70.6,hurricane,1.0,80,978,270,65,0
                Ian,2022,9,30,60,30.3,-79.1,hurricane,1.0,75,984,520,60,0
               Gert,1999,9,18,12,22.2,-57.4,hurricane,3.0,105,953,221,60,1
            Gonzalo,2014,10,16,12,25.6,-68.7,hurricane,4.0,125,940,240,75,1
            Marilyn,1995,9,17,18,22.9,-68.8,hurricane,1.0,80,968,221,61,0
               Lili,1996,10,22,18,33.5,-54.0,hurricane,1.0,65,987,320,59,0
            Epsilon,2005,12,3,0,34.3,-47.1,hurricane,1.0,65,987,200,30,0
              Felix,1995,8,19,12,35.7,-67.5,hurricane,1.0,70,971,203,59,0
              Tammy,2023,10,23,18,22.1,-63.8,hurricane,1.0,65,988,180,20,0
             Rafael,2012,10,16,18,29.5,-64.2,hurricane,1.0,75,970,300,60,0
              Tomas,2010,10,31,0,13.5,-61.7,hurricane,2.0,85,982,170,40,0
             Eloise,1975,9,22,12,25.8,-89.5,hurricane,1.0,75,986,217,69,0
               Erin,1989,8,26,0,42.3,-37.2,hurricane,1.0,80,976,606,171,0
               Ivan,2004,9,5,60,9.5,-43.4,hurricane,1.0,65,987,180,40,0
               Earl,1986,9,13,0,28.1,-55.5,hurricane,2.0,90,983,228,61,0
             Bonnie,1992,9,22,60,37.7,-51.2,hurricane,2.0,95,967,186,48,0
              Allen,1980,8,8,0,22.2,-87.9,hurricane,5.0,155,920,300,117,1
               Juan,2003,9,27,0,33.3,-62.0,hurricane,1.0,75,984,213,64,0
              Tanya,1995,10,30,12,33.1,-53.4,hurricane,1.0,70,979,662,134,0
               Omar,2008,10,15,0,14.1,-68.3,hurricane,1.0,65,983,165,30,0
             Bertha,2008,7,11,12,28.3,-61.8,hurricane,1.0,75,980,210,40,0
             Harvey,1981,9,16,12,34.9,-56.8,hurricane,1.0,80,980,196,60,0
                Bob,1979,7,11,12,29.1,-90.6,hurricane,1.0,65,986,227,52,0
               Nana,1990,10,19,12,28.5,-66.9,hurricane,1.0,75,989,259,47,0
               Karl,2004,9,23,18,34.5,-43.0,hurricane,2.0,90,955,550,125,0
              Irene,2011,8,25,90,24.7,-76.2,hurricane,2.0,90,950,307,82,0
             Harvey,2017,8,26,12,28.7,-97.3,hurricane,1.0,65,978,190,40,0
              Allen,1980,8,7,0,20.1,-81.9,hurricane,4.0,135,945,211,64,1
             Nicole,2016,10,15,60,38.0,-52.6,hurricane,1.0,75,965,540,130,0
               Ivan,1998,9,24,12,32.3,-42.0,hurricane,1.0,70,985,261,63,0
             Gustav,1990,8,30,0,25.2,-57.8,hurricane,1.0,80,975,238,66,0
             Helene,1988,9,22,18,13.5,-43.1,hurricane,3.0,100,959,234,61,1
            Matthew,2016,10,4,11,18.3,-74.3,hurricane,4.0,130,935,260,65,1
           Humberto,2001,9,24,60,33.8,-66.8,hurricane,1.0,75,989,232,65,0
              David,1979,8,28,12,12.8,-55.7,hurricane,4.0,130,938,213,60,1
            Isidore,1990,9,16,0,40.5,-48.5,hurricane,1.0,65,987,316,57,0
             Gaston,2016,8,29,0,30.6,-55.2,hurricane,3.0,105,955,200,50,1
             Gloria,1985,9,22,0,17.8,-56.3,hurricane,1.0,65,1000,216,45,0
              Barry,1983,8,28,18,25.4,-97.5,hurricane,1.0,70,986,198,64,0
             Bonnie,1992,9,20,18,36.8,-55.5,hurricane,2.0,85,973,188,60,0
             Dorian,2019,9,6,60,34.1,-76.9,hurricane,2.0,90,956,320,110,0
             Gloria,1985,9,22,60,17.8,-57.1,hurricane,1.0,70,996,217,48,0
               Ella,1978,9,4,12,40.0,-63.0,hurricane,4.0,120,956,406,104,1
            Epsilon,2005,12,3,12,34.5,-45.0,hurricane,1.0,65,987,200,30,0
               Igor,2010,9,17,0,21.8,-58.4,hurricane,4.0,115,935,435,135,1
            Isidore,2002,9,20,18,21.8,-84.0,hurricane,1.0,75,965,231,62,0
              Teddy,2020,9,17,60,18.1,-52.0,hurricane,2.0,90,966,300,55,0
             Gloria,1979,9,13,12,35.0,-45.0,hurricane,2.0,85,977,160,46,0
             Andrew,1992,8,26,0,28.5,-90.5,hurricane,4.0,125,937,296,118,1
           Humberto,1995,8,25,0,16.1,-43.8,hurricane,2.0,90,970,240,59,0
             Jeanne,1980,11,12,18,23.8,-89.8,hurricane,1.0,65,995,216,50,0
              Allen,1980,8,3,0,12.4,-51.4,hurricane,1.0,65,985,198,37,0
              Jerry,1989,10,16,0,29.1,-95.0,hurricane,1.0,75,983,246,59,0
              Debby,1982,9,15,60,26.7,-70.3,hurricane,1.0,65,990,212,56,0
           Paulette,2020,9,13,12,29.6,-61.4,hurricane,1.0,70,976,270,50,0
            Flossie,1978,9,13,0,31.8,-42.9,hurricane,2.0,85,976,154,43,0
               Elsa,2021,7,2,12,13.0,-59.8,hurricane,1.0,65,995,210,20,0
               Jose,2017,9,16,18,28.6,-72.0,hurricane,1.0,65,973,240,50,0
              Emily,1993,9,1,0,35.6,-74.9,hurricane,3.0,100,960,192,59,1
             Gloria,1979,9,10,12,31.0,-46.8,hurricane,1.0,65,993,244,47,0
             Helene,2024,9,26,18,26.6,-85.0,hurricane,3.0,105,958,440,110,1
              Maria,2017,9,26,60,32.6,-73.1,hurricane,1.0,65,970,370,90,0
              Julia,2022,10,9,60,12.4,-83.3,hurricane,1.0,75,982,170,30,0
               Kate,2015,11,11,60,35.2,-67.6,hurricane,1.0,70,985,180,20,0
               Emmy,1976,9,4,60,39.6,-25.8,hurricane,1.0,65,994,295,60,0
              Grace,1991,10,29,14,31.5,-61.8,hurricane,2.0,90,982,493,122,0
                Ike,2008,9,13,12,30.3,-95.2,hurricane,2.0,85,959,250,80,0
              David,1979,8,30,18,16.6,-66.2,hurricane,5.0,150,924,263,82,1
               Iris,1995,9,3,12,36.9,-57.5,hurricane,1.0,75,982,224,60,0
              Klaus,1984,11,11,0,29.5,-53.0,hurricane,1.0,75,971,232,56,0
               Earl,2022,9,7,0,24.5,-65.8,hurricane,1.0,70,985,180,35,0
              Irene,2011,8,25,60,24.1,-75.9,hurricane,2.0,95,950,330,110,0
             Isabel,2003,9,11,60,21.3,-53.2,hurricane,4.0,125,935,229,65,1
              Emily,1987,9,22,18,16.7,-69.1,hurricane,3.0,110,958,214,63,1
               Gert,1999,9,18,0,20.9,-56.8,hurricane,3.0,110,953,222,62,1
              Floyd,1981,9,6,0,22.6,-67.7,hurricane,1.0,80,994,239,58,0
              Larry,2021,9,9,60,30.1,-60.8,hurricane,1.0,80,968,340,110,0
              Debby,1982,9,19,60,47.0,-50.5,hurricane,1.0,75,979,476,106,0
             Dennis,1999,8,26,60,23.8,-73.1,hurricane,1.0,65,995,236,57,0
              Tammy,2023,10,25,18,27.5,-58.3,hurricane,2.0,85,968,250,20,0
              Greta,1978,9,18,18,16.6,-86.9,hurricane,3.0,100,964,219,58,1
               Ivan,2004,9,8,18,13.0,-67.0,hurricane,4.0,120,950,265,80,1
              Erika,1997,9,11,0,34.8,-56.4,hurricane,1.0,80,973,200,59,0
            Frances,1980,9,20,0,45.7,-41.0,hurricane,1.0,65,988,485,101,0
             Gustav,2008,8,30,22,22.4,-83.1,hurricane,4.0,135,941,250,80,1
           Florence,2000,9,13,60,30.7,-74.0,hurricane,1.0,65,986,243,57,0
                Lee,2023,9,12,60,23.9,-65.1,hurricane,3.0,100,948,300,120,1
              Irene,1999,10,16,0,26.1,-80.6,hurricane,1.0,65,986,237,53,0
             Bonnie,1998,8,22,60,21.8,-68.7,hurricane,1.0,70,989,236,60,0
                Lee,2023,9,7,60,15.6,-48.2,hurricane,1.0,75,986,150,15,0
          Claudette,1985,8,14,18,35.5,-47.8,hurricane,1.0,65,986,222,48,0
               Juan,1985,10,28,18,29.3,-93.0,hurricane,1.0,75,971,479,111,0
              Irene,1999,10,16,18,28.6,-79.9,hurricane,1.0,65,984,244,50,0
              Delta,2020,10,7,18,21.7,-88.8,hurricane,1.0,75,978,190,45,0
            Roxanne,1995,10,15,60,21.4,-92.4,hurricane,1.0,75,979,231,58,0
              Maria,2017,9,24,18,29.1,-72.9,hurricane,2.0,90,943,360,85,0
              Isaac,2006,9,30,18,31.3,-59.2,hurricane,1.0,70,989,180,60,0
            Lorenzo,2019,10,2,0,37.8,-34.4,hurricane,2.0,85,959,610,230,0
              Allen,1980,8,9,60,25.0,-94.2,hurricane,5.0,155,909,335,150,1
            Edouard,1996,9,1,0,34.0,-70.1,hurricane,3.0,100,959,193,63,1
               Iota,2020,11,17,12,13.7,-84.7,hurricane,1.0,75,965,270,30,0
            Frances,1976,8,30,18,20.2,-54.2,hurricane,1.0,65,987,220,48,0
          Gabrielle,1989,9,3,18,16.5,-50.3,hurricane,3.0,105,937,217,56,1
             Gordon,2006,9,18,0,35.0,-52.1,hurricane,1.0,75,981,160,40,0
                Ike,2008,9,4,18,23.4,-57.7,hurricane,4.0,115,940,195,65,1
               Lili,1996,10,25,18,37.2,-43.3,hurricane,1.0,80,971,544,131,0
            Richard,2010,10,24,60,16.5,-85.2,hurricane,1.0,65,992,130,10,0
             Rafael,2024,11,9,0,24.7,-89.7,hurricane,1.0,65,986,150,25,0
           Florence,2018,9,9,12,24.4,-56.1,hurricane,1.0,65,984,190,10,0
           Danielle,2010,8,24,12,16.2,-45.8,hurricane,1.0,70,984,180,40,0
           Florence,1994,11,5,12,30.0,-55.7,hurricane,1.0,70,984,228,51,0
            Ophelia,2011,9,30,0,21.6,-62.3,hurricane,1.0,70,982,210,40,0
              Larry,2021,9,7,12,24.0,-55.4,hurricane,2.0,95,963,300,100,0
             Jeanne,1998,9,28,12,32.3,-39.6,hurricane,1.0,75,980,231,62,0
               Earl,2010,9,2,60,28.6,-74.3,hurricane,4.0,125,927,360,130,1
             Bertha,2008,7,8,18,22.4,-54.4,hurricane,1.0,75,980,135,40,0
             Bonnie,1980,8,17,60,28.0,-40.0,hurricane,1.0,65,990,222,50,0
          Josephine,1984,10,14,12,36.6,-71.4,hurricane,1.0,70,971,266,52,0
             Leslie,2018,10,11,60,28.1,-40.7,hurricane,1.0,70,978,340,25,0
            Matthew,2016,9,30,12,13.8,-70.4,hurricane,3.0,100,968,260,50,1
               Ivan,2004,9,6,12,11.0,-52.5,hurricane,3.0,110,955,240,60,1
             Jeanne,1998,9,28,18,33.8,-38.4,hurricane,1.0,80,977,212,62,0
               Iris,1995,9,2,60,26.6,-60.2,hurricane,2.0,85,973,216,65,0
               Beta,2005,10,30,12,12.9,-83.5,hurricane,2.0,90,970,100,30,0
              Lenny,1999,11,15,12,15.1,-76.4,hurricane,2.0,85,971,228,60,0
               Irma,2017,9,1,0,17.5,-35.1,hurricane,3.0,100,967,120,25,1
             Helene,2018,9,12,12,19.8,-36.3,hurricane,1.0,80,976,230,70,0
           Danielle,1998,8,30,0,25.9,-71.4,hurricane,1.0,65,987,209,58,0
              Marco,1996,11,20,60,13.8,-78.5,hurricane,1.0,65,983,142,25,0
              Emily,1987,9,22,12,15.9,-67.7,hurricane,2.0,90,971,222,56,0
                Ike,2008,9,7,12,21.0,-72.8,hurricane,3.0,110,947,245,90,1
              Irene,1999,10,15,20,25.3,-81.1,hurricane,1.0,70,987,233,57,0
            Edouard,1996,8,25,12,15.9,-48.3,hurricane,4.0,125,934,251,69,1
             Helene,1988,9,29,18,42.9,-42.0,hurricane,1.0,75,979,467,116,0
           Danielle,1998,8,26,60,18.4,-49.1,hurricane,2.0,90,975,245,63,0
               Omar,2008,10,16,12,19.6,-62.1,hurricane,2.0,90,975,195,50,0
            Michael,2012,9,7,0,30.6,-40.8,hurricane,2.0,90,970,110,35,0
             Gladys,1975,10,1,12,27.9,-72.4,hurricane,1.0,80,975,250,60,0
            Georges,1998,9,22,60,18.0,-67.4,hurricane,2.0,95,972,251,86,0
               Opal,1995,10,3,18,23.5,-91.0,hurricane,2.0,85,965,340,126,0
               Luis,1995,9,2,12,17.2,-48.0,hurricane,4.0,120,948,250,69,1
               Noel,2007,11,2,18,30.3,-73.3,hurricane,1.0,70,980,420,90,0
            Candice,1976,8,21,60,41.2,-59.3,hurricane,1.0,65,993,521,113,0
                Sam,2021,10,1,0,24.3,-61.0,hurricane,4.0,125,938,250,90,1
               Otto,2016,11,24,18,11.0,-83.9,hurricane,2.0,95,978,100,30,0
           Danielle,2010,8,27,60,26.2,-58.3,hurricane,3.0,110,953,285,85,1
           Florence,2006,9,11,12,32.4,-65.7,hurricane,1.0,75,974,350,90,0
              Felix,2001,9,13,0,23.9,-48.9,hurricane,1.0,65,987,222,50,0
             Harvey,1981,9,16,60,34.2,-58.0,hurricane,2.0,85,975,194,61,0
             Paloma,2008,11,8,60,19.4,-80.4,hurricane,3.0,110,951,180,50,1
              Maria,2005,9,5,18,32.1,-56.7,hurricane,2.0,90,970,180,40,0
              Cindy,1999,8,29,60,32.3,-58.4,hurricane,4.0,115,948,215,65,1
              Grace,1991,10,28,60,32.2,-68.5,hurricane,1.0,65,983,746,166,0
             Dennis,2005,7,8,60,20.3,-78.4,hurricane,3.0,110,953,210,65,1
              Emily,1993,9,3,60,38.1,-58.3,hurricane,1.0,75,979,218,60,0
             Jeanne,2004,9,23,12,25.5,-69.6,hurricane,1.0,80,966,220,70,0
             Harvey,2017,8,26,0,27.8,-96.8,hurricane,4.0,115,941,200,55,1
              Joyce,2000,9,28,12,11.7,-43.8,hurricane,1.0,80,975,224,51,0
              Delta,2020,10,7,12,21.1,-87.4,hurricane,2.0,85,973,190,45,0
              Klaus,1984,11,8,18,19.9,-61.4,hurricane,1.0,80,984,170,31,0
              Mitch,1998,10,24,18,15.0,-78.1,hurricane,2.0,90,980,313,91,0
              Tomas,2010,11,7,0,24.9,-69.8,hurricane,1.0,70,987,175,20,0
               Lili,1996,10,20,18,30.7,-62.9,hurricane,1.0,75,970,265,50,0
                Ian,2022,9,27,12,22.6,-83.6,hurricane,3.0,100,963,240,50,1
             Paloma,2008,11,8,0,19.0,-81.0,hurricane,3.0,100,964,170,50,1
          Claudette,2003,7,15,60,27.9,-94.6,hurricane,1.0,65,987,188,50,0
              Maria,2011,9,16,12,42.9,-58.2,hurricane,1.0,65,983,300,60,0
             Helene,1988,9,29,60,38.0,-46.5,hurricane,2.0,90,970,194,58,0
              Emily,2005,7,18,60,20.3,-87.3,hurricane,4.0,115,955,235,65,1
             Bertha,1990,8,2,0,44.2,-60.5,hurricane,1.0,70,973,392,79,0
               Luis,1995,9,7,60,21.3,-66.0,hurricane,4.0,120,936,289,108,1
            Frances,1980,9,8,12,12.9,-28.0,hurricane,1.0,80,970,167,37,0
          Claudette,1991,9,10,0,34.3,-57.4,hurricane,1.0,70,988,236,56,0
               Irma,2017,9,8,60,21.5,-73.2,hurricane,4.0,135,925,270,105,1
              Keith,2000,10,1,70,17.9,-87.3,hurricane,4.0,120,939,339,124,1
            Joaquin,2015,10,4,12,30.4,-67.2,hurricane,2.0,95,956,280,80,0
              Erika,1997,9,6,18,19.0,-61.7,hurricane,1.0,75,980,183,38,0
            Georges,1998,9,25,0,22.7,-79.0,hurricane,1.0,80,987,229,65,0
                Lee,2023,9,13,18,26.8,-67.6,hurricane,2.0,90,951,410,180,0
               Irma,2017,9,5,60,16.6,-56.4,hurricane,4.0,135,933,220,75,1
            Gonzalo,2014,10,17,12,29.8,-66.5,hurricane,3.0,110,947,260,100,1
              Felix,1995,8,15,12,32.5,-67.4,hurricane,1.0,70,968,220,58,0
            Gonzalo,2014,10,16,0,24.4,-68.6,hurricane,3.0,110,953,200,60,1
             Bonnie,1980,8,18,18,35.9,-40.5,hurricane,1.0,65,990,213,49,0
              Tammy,2023,10,24,60,23.1,-63.1,hurricane,1.0,65,987,190,40,0
              Irene,2005,8,17,18,37.6,-57.3,hurricane,1.0,65,987,170,40,0
               Lili,1996,10,19,18,25.5,-71.5,hurricane,2.0,90,962,342,130,0
              Emily,1993,8,31,12,33.6,-74.7,hurricane,2.0,95,965,334,113,0
            Joaquin,2015,10,1,60,23.5,-73.3,hurricane,3.0,110,947,240,55,1
               Erin,2001,9,9,60,30.6,-61.3,hurricane,2.0,90,982,218,63,0
              Klaus,1990,10,5,18,17.4,-61.4,hurricane,1.0,70,991,138,22,0
              Felix,2007,9,4,60,14.3,-81.9,hurricane,4.0,135,939,150,60,1
              Sandy,2012,10,26,18,27.0,-77.2,hurricane,1.0,65,971,570,90,0
             Leslie,2018,10,11,18,29.5,-37.5,hurricane,1.0,75,976,370,40,0
               Kirk,2024,10,2,0,16.5,-40.6,hurricane,1.0,65,986,300,25,0
               Igor,2010,9,17,12,22.8,-59.9,hurricane,3.0,100,945,450,135,1
            Ernesto,2024,8,17,12,32.6,-64.6,hurricane,1.0,70,974,370,110,0
              Emily,1981,9,4,60,35.3,-62.7,hurricane,1.0,70,974,230,56,0
                Sam,2021,9,28,0,16.5,-52.9,hurricane,3.0,105,955,180,60,1
               Ivan,1998,9,26,0,38.1,-38.7,hurricane,1.0,75,980,357,96,0
              Emily,1981,9,6,0,39.9,-59.0,hurricane,1.0,80,967,430,105,0
            Matthew,2016,10,9,0,33.9,-77.3,hurricane,1.0,70,981,330,40,0
            Epsilon,2020,10,23,12,33.7,-61.6,hurricane,1.0,75,966,470,50,0
             Bonnie,2022,7,5,12,15.1,-103.8,hurricane,3.0,100,964,160,40,1
              Doris,1975,8,31,12,34.7,-45.2,hurricane,1.0,70,990,238,58,0
             Margot,2023,9,13,60,33.0,-39.9,hurricane,1.0,80,969,380,90,0
              Felix,1989,9,6,60,37.2,-48.1,hurricane,1.0,75,979,213,56,0
           Frederic,1979,9,11,60,23.8,-84.4,hurricane,1.0,80,983,356,110,0
                Lee,2023,9,9,0,19.0,-56.0,hurricane,3.0,105,958,220,50,1
            Frances,1980,9,9,12,13.0,-31.3,hurricane,3.0,100,960,177,45,1
              Fiona,2022,9,20,18,22.3,-71.7,hurricane,3.0,100,959,250,50,1
               Fran,1996,9,3,60,24.4,-70.1,hurricane,1.0,80,975,234,60,0
            Ophelia,2011,10,1,0,25.9,-63.3,hurricane,3.0,105,955,270,50,1
               Olga,2001,11,28,12,32.4,-56.2,hurricane,1.0,75,977,456,96,0
               Irma,2017,9,7,60,19.7,-67.6,hurricane,5.0,145,920,270,95,1
               Fred,2009,9,10,12,16.1,-34.6,hurricane,2.0,85,974,180,45,0
            Georges,1998,9,21,12,17.4,-63.6,hurricane,2.0,95,966,223,58,0
             Gaston,2016,9,1,60,36.3,-44.3,hurricane,2.0,85,973,270,100,0
               Luis,1995,9,1,18,16.5,-44.7,hurricane,4.0,115,948,222,56,1
            Ernesto,2024,8,19,60,39.2,-61.2,hurricane,1.0,75,972,290,30,0
              Wilma,2005,10,25,0,30.1,-76.0,hurricane,3.0,110,955,450,150,1
             Harvey,1981,9,15,60,29.5,-62.3,hurricane,3.0,110,952,223,60,1
             Helene,1988,9,27,12,29.8,-52.0,hurricane,1.0,75,979,248,65,0
